,coh,di,dotmode,dur,ntrials,pc,se,subj
180,0.06,12,2d,0.5,902,0.7279889135254988,0.014399763650287388,ALL
181,0.06,13,2d,0.6166666666666667,1097,0.759746581586144,0.012613146095771305,ALL
182,0.06,14,2d,0.7666666666666667,864,0.797962962962963,0.013756197828324433,ALL
183,0.06,15,2d,0.9333333333333333,880,0.8456386363636363,0.012280960651153328,ALL
184,0.06,16,2d,1.15,252,0.8219920634920637,0.023052646998319284,ALL
185,0.06,17,2d,1.4,130,0.6452307692307692,0.04185718831410772,ALL
186,0.06,18,2d,1.75,146,0.8691575342465753,0.02777381115254143,ALL
187,0.06,19,2d,2.1333333333333333,89,0.8097191011235955,0.041710304128180234,ALL
188,0.06,20,2d,2.6333333333333333,169,0.7748047337278107,0.031260611263252205,ALL
189,0.06,21,2d,3.2333333333333334,206,0.8835679611650484,0.022371222689090756,ALL
190,0.06,22,2d,3.966666666666667,255,0.8656235294117648,0.020467614720737423,ALL
191,0.06,23,2d,4.866666666666666,358,0.8715670391061452,0.017928904664211563,ALL
192,0.03,0,2d,0.03333333333333333,920,0.5177967391304349,0.016120185159764325,ALL
193,0.03,1,2d,0.05,1098,0.4906812386156648,0.014568420908623567,ALL
194,0.03,2,2d,0.06666666666666667,862,0.49304060324825993,0.017310188162706134,ALL
195,0.03,3,2d,0.08333333333333333,823,0.5235358444714459,0.017882783180221094,ALL
196,0.03,4,2d,0.1,716,0.5355195530726258,0.018950176236698417,ALL
197,0.03,5,2d,0.11666666666666667,1093,0.6083851784080512,0.014572341498457481,ALL
198,0.03,6,2d,0.15,835,0.569422754491018,0.01720050912273199,ALL
199,0.03,7,2d,0.18333333333333332,707,0.567850070721358,0.0193744888821597,ALL
200,0.03,8,2d,0.21666666666666667,1026,0.5824980506822612,0.014943036980663594,ALL
201,0.03,9,2d,0.26666666666666666,914,0.6148358862144421,0.01588707542279209,ALL
202,0.03,10,2d,0.3333333333333333,1060,0.6427688679245283,0.014901607977895446,ALL
203,0.03,11,2d,0.4166666666666667,825,0.6581915151515152,0.016224372469661266,ALL
204,0.03,12,2d,0.5,961,0.6694131113423517,0.015733010719253926,ALL
205,0.03,13,2d,0.6166666666666667,904,0.5753263274336283,0.01656347598357841,ALL
206,0.03,14,2d,0.7666666666666667,912,0.6442532894736843,0.016309427433188355,ALL
207,0.03,15,2d,0.9333333333333333,930,0.7163365591397849,0.014715753950209234,ALL
208,0.03,16,2d,1.15,242,0.6972272727272727,0.029004269057401874,ALL
209,0.03,17,2d,1.4,143,0.783041958041958,0.033011629741036816,ALL
210,0.03,18,2d,1.75,132,0.7180833333333333,0.03831357153823724,ALL
211,0.03,19,2d,2.1333333333333333,127,0.5589448818897638,0.04404320069266881,ALL
212,0.03,20,2d,2.6333333333333333,193,0.6948601036269431,0.03394999159687897,ALL
213,0.03,21,2d,3.2333333333333334,172,0.6400523255813954,0.0366781115316928,ALL
214,0.03,22,2d,3.966666666666667,208,0.6144278846153846,0.032506939161665596,ALL
215,0.03,23,2d,4.866666666666666,281,0.6667117437722421,0.027725361992863157,ALL
