,A,B,T,bi,dotmode,coh,subj
45,0.591853155437113,0.5,750.0379412540838,45,3d,0.03,ALL
46,0.5735949131295889,0.5,376.41963652893884,46,3d,0.03,ALL
47,0.5568763594532342,0.5,240.66607611038282,47,3d,0.03,ALL
48,0.590315639593521,0.5,799.2410068454874,48,3d,0.03,ALL
49,0.5841408742215417,0.5,659.2628082962249,49,3d,0.03,ALL
0,0.9936071370903966,0.5,29.230534597526837,0,2d,0.5,ALL
1,0.9947567941389068,0.5,30.275288326769388,1,2d,0.5,ALL
2,0.9952629636395516,0.5,30.472060653243904,2,2d,0.5,ALL
3,0.995947617377293,0.5,29.921349648582883,3,2d,0.5,ALL
4,0.9950658815133252,0.5,30.303889324972037,4,2d,0.5,ALL
5,0.9949901946428794,0.5,30.749982242771623,5,2d,0.5,ALL
6,0.9949151881232026,0.5,30.563296902268608,6,2d,0.5,ALL
7,0.9971359268144316,0.5,30.73428295812576,7,2d,0.5,ALL
8,0.9951105075783807,0.5,29.695212736518673,8,2d,0.5,ALL
9,0.9955903057517791,0.5,31.071590043877432,9,2d,0.5,ALL
10,0.9959164089863035,0.5,30.095153766027295,10,2d,0.5,ALL
11,0.9962492121600064,0.5,32.65953210481379,11,2d,0.5,ALL
12,0.9943298839632388,0.5,29.42243263783681,12,2d,0.5,ALL
13,0.9948016130148691,0.5,27.630416927840955,13,2d,0.5,ALL
14,0.9939503719544504,0.5,29.181089347712934,14,2d,0.5,ALL
15,0.995279807648824,0.5,29.96010638199186,15,2d,0.5,ALL
16,0.9956085405877414,0.5,30.347559190735215,16,2d,0.5,ALL
17,0.9955755015552032,0.5,30.182413474473584,17,2d,0.5,ALL
18,0.9949615204075822,0.5,28.210880425655613,18,2d,0.5,ALL
19,0.9949327406018419,0.5,30.698099492856336,19,2d,0.5,ALL
20,0.9962831651127021,0.5,28.634293688226993,20,2d,0.5,ALL
21,0.9959815523567788,0.5,32.28750863978503,21,2d,0.5,ALL
22,0.9958782821928038,0.5,30.54880672203536,22,2d,0.5,ALL
23,0.9952676004351497,0.5,28.742231856244597,23,2d,0.5,ALL
24,0.9941517514496305,0.5,30.59738791632455,24,2d,0.5,ALL
25,0.9953601776555702,0.5,29.950784626441596,25,2d,0.5,ALL
26,0.9962911924675876,0.5,30.34713894967496,26,2d,0.5,ALL
27,0.9943842465995264,0.5,31.04382853313425,27,2d,0.5,ALL
28,0.9952351181380366,0.5,29.981246003138107,28,2d,0.5,ALL
29,0.9955822284219649,0.5,30.69425375078739,29,2d,0.5,ALL
30,0.9950829584348831,0.5,30.30654254143933,30,2d,0.5,ALL
31,0.9947417812718495,0.5,30.79683945192415,31,2d,0.5,ALL
32,0.9951515235444173,0.5,29.68681361544083,32,2d,0.5,ALL
33,0.9955915595911623,0.5,30.476286884821977,33,2d,0.5,ALL
34,0.995114750084105,0.5,30.438850837591687,34,2d,0.5,ALL
35,0.9950474625071619,0.5,28.800689827530327,35,2d,0.5,ALL
36,0.9944357646846759,0.5,29.344859025906025,36,2d,0.5,ALL
37,0.994596618592523,0.5,28.492495746884945,37,2d,0.5,ALL
38,0.9945933360185567,0.5,28.22259517759303,38,2d,0.5,ALL
39,0.993944592437865,0.5,29.32267220539402,39,2d,0.5,ALL
40,0.9964172497491274,0.5,30.114657829454558,40,2d,0.5,ALL
41,0.9953387918454977,0.5,31.203559610456598,41,2d,0.5,ALL
42,0.9948249839790305,0.5,30.36186148029796,42,2d,0.5,ALL
43,0.9960370175790006,0.5,30.57104990758197,43,2d,0.5,ALL
44,0.9957387857035723,0.5,29.927133390983347,44,2d,0.5,ALL
45,0.9960976514109188,0.5,30.910225282476258,45,2d,0.5,ALL
46,0.9952600050208109,0.5,31.04991004573966,46,2d,0.5,ALL
47,0.9940218695165624,0.5,30.857906487068668,47,2d,0.5,ALL
48,0.996459028006027,0.5,30.265489213237768,48,2d,0.5,ALL
49,0.99430834472066,0.5,28.756211798463628,49,2d,0.5,ALL
0,0.9759401944207472,0.5,51.122236328688395,0,2d,0.25,ALL
1,0.975657483026847,0.5,50.46067297734409,1,2d,0.25,ALL
2,0.9742319251404051,0.5,50.48981193730902,2,2d,0.25,ALL
3,0.9775749055553292,0.5,53.13531440183802,3,2d,0.25,ALL
4,0.9766906135666739,0.5,50.44884773836308,4,2d,0.25,ALL
5,0.9798705737151063,0.5,56.59330285377334,5,2d,0.25,ALL
6,0.9779312382937129,0.5,51.57822514902363,6,2d,0.25,ALL
7,0.9769650760904941,0.5,51.691958810063625,7,2d,0.25,ALL
8,0.9774358357858405,0.5,50.43934672541639,8,2d,0.25,ALL
9,0.9791804135358628,0.5,53.29503762859335,9,2d,0.25,ALL
10,0.9802778027923106,0.5,53.705757558105816,10,2d,0.25,ALL
11,0.9784001090532431,0.5,54.434769420473785,11,2d,0.25,ALL
12,0.9794255416166274,0.5,52.64514699015332,12,2d,0.25,ALL
13,0.975359568455436,0.5,53.289889427165434,13,2d,0.25,ALL
14,0.9772299196532923,0.5,56.46191674318404,14,2d,0.25,ALL
15,0.9788879046096661,0.5,49.040255965763,15,2d,0.25,ALL
16,0.9783060509380768,0.5,55.20750362426344,16,2d,0.25,ALL
17,0.9805231597846912,0.5,56.20635209551352,17,2d,0.25,ALL
18,0.9774462800156829,0.5,54.82292391223745,18,2d,0.25,ALL
19,0.9783683206953991,0.5,54.25113252461942,19,2d,0.25,ALL
20,0.9767372311542502,0.5,54.1297882709477,20,2d,0.25,ALL
21,0.9818442085582351,0.5,56.918635420144476,21,2d,0.25,ALL
22,0.9779840018433478,0.5,56.04515043822663,22,2d,0.25,ALL
23,0.9768575908890096,0.5,53.4580562900778,23,2d,0.25,ALL
24,0.9789031958674961,0.5,51.765966548084094,24,2d,0.25,ALL
25,0.9782453719714382,0.5,54.16580141343717,25,2d,0.25,ALL
26,0.9787219547543327,0.5,53.33333459879877,26,2d,0.25,ALL
27,0.9756769618537964,0.5,53.53877514440984,27,2d,0.25,ALL
28,0.9788271118271832,0.5,53.655016713369314,28,2d,0.25,ALL
29,0.9771696290209537,0.5,52.699960258301715,29,2d,0.25,ALL
30,0.9792786473970471,0.5,52.71543252127618,30,2d,0.25,ALL
31,0.9774867961950349,0.5,53.29713036996646,31,2d,0.25,ALL
32,0.9781156515027319,0.5,51.31799503466969,32,2d,0.25,ALL
33,0.9791981007787189,0.5,50.93919993208793,33,2d,0.25,ALL
34,0.9794863795559228,0.5,57.48291546013051,34,2d,0.25,ALL
35,0.9772774021298207,0.5,52.2491963557311,35,2d,0.25,ALL
36,0.9765170945011592,0.5,55.34687575009694,36,2d,0.25,ALL
37,0.9786280800529186,0.5,54.653190644823646,37,2d,0.25,ALL
38,0.9796674382664324,0.5,53.34858337885475,38,2d,0.25,ALL
39,0.9806607129108117,0.5,53.43012746934187,39,2d,0.25,ALL
40,0.9786685516052066,0.5,53.8953202332145,40,2d,0.25,ALL
41,0.9791702850864376,0.5,53.362601782413215,41,2d,0.25,ALL
42,0.9766803236224056,0.5,55.67260976431632,42,2d,0.25,ALL
43,0.9761187998892042,0.5,56.408017734368066,43,2d,0.25,ALL
